1,7.992,7.804,7.74,7.904,8.004,7.812,7.672,7.904,8.392,8.8,9.208,9.916,10.54,10.2,9.112,8.468,7.988,7.576,7.264,7.324,7.652,7.916,7.836,7.8,7.972
0,7.912,7.744,7.772,7.952,7.936,7.784,7.764,7.896,7.948,7.78,7.756,7.92,7.944,8.068,7.892,7.796,7.924,8.016,7.896,7.796,7.896,8.024,7.916,7.792,7.884
1,7.992,7.848,7.74,7.904,7.984,7.9,7.74,8,8.568,9.04,9.46,10.124,10.6,9.936,8.872,8.212,7.8,7.52,7.256,7.38,7.756,7.984,7.852,7.792,7.932
0,7.968,7.76,7.78,7.952,7.972,7.796,7.776,7.924,7.996,7.808,7.752,7.908,7.952,8.064,7.912,7.8,7.9,8.004,7.9,7.812,7.88,8.012,7.952,7.796,7.836
1,7.956,8.056,7.936,7.812,7.924,8.052,7.928,7.924,8.348,9.004,9.46,9.888,10.344,10.152,9.228,8.416,7.816,7.596,7.516,7.44,7.588,7.956,8.128,7.964,7.884
0,8.02,7.996,7.824,7.832,7.996,8.028,7.856,7.836,7.964,8.06,7.884,7.828,7.856,8.036,8.152,7.972,7.872,7.968,8.12,8.028,7.88,7.944,8.1,8.016,7.884
1,7.956,8.068,7.936,7.812,7.928,8.028,7.968,8.088,8.636,9.288,9.78,10.076,10.14,9.48,8.748,7.98,7.54,7.512,7.552,7.536,7.688,8.028,8.104,7.916,7.876
0,8.036,7.984,7.824,7.812,8.008,8.032,7.86,7.824,7.98,8.048,7.896,7.828,7.868,7.884,8.124,7.976,7.868,7.996,8.116,8,7.86,7.932,8.092,7.896,7.88
1,8.06,7.924,7.832,7.948,8.044,7.928,7.804,7.952,8.384,8.792,9.16,9.744,10.332,10.128,9.1,8.44,8.02,7.648,7.336,7.348,7.688,7.956,7.908,7.86,7.996
0,7.992,7.824,7.856,7.996,8.016,7.836,7.816,7.976,8.028,7.896,7.828,7.964,8.032,8.104,7.968,7.844,7.952,8.088,7.976,7.872,7.928,8.084,8.02,7.856,7.92
1,7.928,8.048,7.928,7.82,7.9,8.004,7.928,7.952,8.396,9.036,9.576,10.032,10.392,9.94,9.056,8.212,7.596,7.464,7.46,7.44,7.588,7.928,8.076,7.924,7.86
0,7.992,7.98,7.792,7.784,7.956,8,7.844,7.744,7.928,8.04,7.884,7.808,7.828,7.948,8.084,7.944,7.828,7.936,8.076,7.98,7.824,7.88,8.068,8.04,7.856
1,8.048,7.968,7.852,7.896,8.04,7.988,7.816,7.936,8.392,8.912,9.28,9.856,10.476,10.24,9.144,8.42,7.924,7.64,7.368,7.344,7.636,7.968,7.972,7.876,7.968
0,8.02,7.864,7.812,7.972,8.032,7.888,7.82,7.944,8.052,7.944,7.828,7.908,7.98,8.1,8.016,7.884,7.94,8.092,8.028,7.896,7.904,8.076,8.06,7.912,7.872
1,7.916,8.036,8.044,7.924,7.908,7.992,8.016,7.988,8.212,8.824,9.392,9.852,10.224,10.132,9.352,8.58,7.888,7.552,7.496,7.504,7.584,7.852,8.08,8.06,7.94
0,7.96,8.064,7.94,7.864,7.94,8.064,7.984,7.868,7.92,8.04,8.024,7.892,7.88,7.98,8.108,8.072,7.944,7.94,8.092,8.116,7.98,7.952,8.052,8.136,7.996
1,8.06,7.972,7.9,8.02,8.088,7.956,7.912,8.184,8.72,9.156,9.584,10.14,10.352,9.584,8.692,8.148,7.772,7.536,7.384,7.536,7.86,8.06,7.956,7.9,8.044
0,8.004,7.892,7.916,8.04,8.044,7.932,7.908,8.028,8.064,7.928,7.888,8.004,8.06,8.104,7.992,7.912,8.016,8.156,8.92,8.688,8.284,8.12,7.936,7.764,7.82
1,7.932,8.064,8.028,7.872,7.892,8,8.016,8.02,8.392,9.012,9.548,9.928,10.196,9.792,8.996,8.276,7.668,7.504,7.524,7.496,7.576,7.892,8.092,7.98,7.9
0,8.008,8.084,7.924,7.864,7.972,8.076,7.952,7.868,7.972,8.088,7.976,7.864,7.876,7.984,8.088,8.036,7.928,7.968,8.088,8.068,7.924,7.928,8.056,8.096,7.908
1,7.872,7.828,7.948,8,7.836,7.784,7.896,8.208,8.492,8.904,9.584,10.304,10.432,9.56,8.772,8.232,7.668,7.312,7.308,7.556,7.788,7.844,7.872,8.008,8.052
0,7.764,7.88,8,7.944,7.82,7.84,7.972,7.952,7.82,7.848,7.96,8.012,7.904,7.904,7.868,7.988,8.032,7.9,7.844,7.956,8.072,7.948,7.84,7.912,8.024
1,7.952,8.072,7.98,7.836,7.9,8.028,7.98,8.036,8.464,9.136,9.7,10.136,10.396,9.856,8.996,8.212,7.624,7.484,7.504,7.464,7.588,7.952,8.08,7.984,7.896
0,7.988,8.016,7.872,7.824,7.98,8.028,7.892,7.828,7.96,8.044,7.936,7.836,7.82,8.004,8.12,7.996,7.888,7.956,8.096,8.02,7.876,7.928,8.068,8.052,7.888
1,8.08,7.912,7.908,8.076,8.1,7.92,7.872,8.072,8.38,8.688,9.164,9.816,10.424,10.284,9.36,8.748,8.264,7.68,7.38,7.428,7.724,7.908,7.92,7.952,8.116
0,7.98,7.872,7.98,8.092,8.004,7.872,7.96,8.088,8.024,7.884,7.932,8.096,8.08,8.108,7.968,7.948,8.12,8.128,7.948,7.94,8.112,8.148,7.98,7.928,8.052
1,8.068,7.944,7.888,7.988,8.056,7.948,7.836,8.072,8.56,8.96,9.34,9.92,10.436,9.932,8.924,8.352,7.936,7.616,7.372,7.428,7.744,8.032,7.928,7.884,8.02
0,8.012,7.852,7.86,8.028,8.052,7.892,7.864,8.008,8.06,7.908,7.868,7.976,8.056,8.132,7.988,7.896,7.996,8.124,8.02,7.88,7.96,8.088,8.048,7.912,7.924
1,7.848,8.008,7.964,7.836,7.8,7.912,7.956,8.012,8.368,9.008,9.604,10.036,10.256,9.708,8.932,8.176,7.532,7.412,7.492,7.508,7.592,7.856,8.04,7.984,7.836
0,7.92,8.004,7.876,7.772,7.904,8.028,7.924,7.784,7.868,7.996,7.916,7.788,7.796,7.856,8.008,7.972,7.844,7.868,8.012,8.008,7.852,7.82,7.948,8.036,7.868
1,7.852,7.764,7.928,7.996,7.88,7.76,7.868,8.06,8.256,8.6,9.228,9.964,10.38,10.096,9.24,8.684,8.04,7.436,7.268,7.456,7.648,7.724,7.832,7.996,8.064
0,7.768,7.808,7.956,7.924,7.772,7.804,7.956,7.956,7.804,7.772,7.924,8,7.908,7.9,7.86,7.992,8.056,7.932,7.836,7.976,8.08,7.968,7.828,7.912,8.044
1,7.984,7.86,7.912,8.076,8.032,7.864,7.852,8.048,8.344,8.64,9.124,9.824,10.348,10.172,9.276,8.7,8.172,7.592,7.34,7.432,7.68,7.84,7.844,7.952,8.092
0,7.892,7.816,7.96,8.032,7.92,7.848,7.948,8.052,7.964,7.848,7.92,8.052,8.036,8.044,7.908,7.944,8.08,8.04,7.904,7.912,8.064,8.064,7.916,7.9,8.044
1,7.832,7.976,8.06,7.912,7.804,7.88,8.016,8.108,8.404,9.004,9.684,10.136,10.268,9.616,8.916,8.284,7.612,7.36,7.468,7.608,7.628,7.82,8.004,8.048,7.9
0,7.872,8.024,7.964,7.808,7.844,8.016,8.012,7.864,7.832,7.98,8.036,7.872,7.816,7.888,8.016,8.084,7.928,7.848,7.964,8.068,7.96,7.844,7.936,8.06,7.9
